Content,Category,Case_Status,Profit_Center
"Agent Ammar - Comm100 has joined the chat.
[2022/05/10 23:44:27]:Ammar - Comm100:Hello Doruk, thank you for contacting us! How may I help you?
[2022/05/10 23:44:50]:Doruk:
The clock is wrong, can you please let us know where we can update it with a visual
Agent Ammar - Comm100 has sent a file: 1652197661823.png
Agent Ammar - Comm100 has sent a file: 1652197678335.png
[2022/05/10 23:53:11]:Ammar - Comm100:still on chat?
The visitor has left the chat.
The chat is ended.(2022/05/10 23:59:11)
",Support: Live Chat,Answered/Solved,SMB & APAC ENT
"Agent Ammar - Comm100 has joined the chat.
[2022/05/10 23:19:11]:Ammar - Comm100:Hello Doruk, thank you for contacting us! How may I help you?
[2022/05/10 23:19:22]:Doruk:Where can I set the comm100 clock?
[2022/05/10 23:19:48]:Ammar - Comm100:hello 
[2022/05/10 23:20:16]:Ammar - Comm100:that is under site profile 
[2022/05/10 23:35:15]:Ammar - Comm100:still in chat?
[2022/05/10 23:42:03]:Ammar - Comm100:I haven't got any reply from you. It seems that you’re not available at the moment. I am going to leave this chat now. If you have any other questions, please feel free to try us again anytime. Bye for now and have a great day!
Agent Ammar - Comm100 has left the chat.
The chat is ended.(2022/05/10 23:42:16)
",Support: Live Chat,Answered/Solved,SMB & APAC ENT
"Agent Ammar - Comm100 has joined the chat.
[2022/05/10 22:58:36]:Ammar - Comm100:Hello Jeremy Dunn, thank you for contacting us! How may I help you?
[2022/05/10 22:59:06]:Jeremy Dunn:How do I get information that the bot gathers to be able to be copied?  
The visitor has sent a file: image.png
[2022/05/10 23:00:16]:Jeremy Dunn:I can copy the role under custom field but I can't copy anything under """"information collected by chatbot demo InfoSource""""
[2022/05/10 23:00:57]:Ammar - Comm100:Hello
[2022/05/10 23:01:14]:Ammar - Comm100:Yeah you cannot copy it
[2022/05/10 23:01:44]:Jeremy Dunn:How do I either get it in a place I can copy it or make it possible to copy? 
[2022/05/10 23:02:48]:Ammar - Comm100:Unfortunately you cannot 
[2022/05/10 23:04:10]:Jeremy Dunn:Is that something that is on the road map to change?  When a customer fills out a pre chat form and sends it things from that form can be copied.  Is there a reason it can't be copied from what the bot gathers? 
[2022/05/10 23:05:15]:Ammar - Comm100:That’s something I’ll need to check with our engineers 
[2022/05/10 23:05:39]:Ammar - Comm100:But yes I see the importance of that 
[2022/05/10 23:06:09]:Jeremy Dunn:Would it be helpful if I wrote an email asking for it? 
[2022/05/10 23:06:36]:Ammar - Comm100:You could also do that 
[2022/05/10 23:06:46]:Jeremy Dunn :Will do, thank you 
[2022/05/10 23:06:52]:Ammar - Comm100:No problem 
[2022/05/10 23:07:04]:Jeremy Dunn :Have a good day 
The transcript will be sent to """"Jeremiah.Dunn@extendhealth.com"""" after the chat ends.
The visitor has left the chat.
The chat is ended.(2022/05/10 23:07:21)
",Support: Live Chat,Answered/Solved,Vancouver ENT
"Comm100 Bot has joined the chat.
[2022/05/10 21:10:20]:Comm100 Bot:Hey there! 👋Thank you for visiting Comm100, the customer engagement solution that helps increase sales, improve customer satisfaction, build loyalty, and spread happiness. 😄From the topics below, which one are you most interested in getting help with today?
[Sales]
[Pre-sales Tech Support]
[Post-sales Tech Support]
[Partner]
[2022/05/10 21:10:28]:Poyraz:Sales
[2022/05/10 21:10:28]:Comm100 Bot:Nice choice! ❤️

Please feel free to choose one of the options below.
[Book a Meeting]
[Chat with Sales]
[2022/05/10 21:10:37]:Poyraz:Chat with Sales
[2022/05/10 21:10:39]:Comm100 Bot:Please hold on. Transferring you to our agent. ✈️
Agent Lucas - Comm100 has joined the chat.
[2022/05/10 21:10:40]:Lucas - Comm100:Hi Poyraz, this is Lucas with Comm100. How may I help you?
[2022/05/10 21:10:46]:Poyraz:selam
Agent Lucas - Comm100 has turned on Auto Translation.
[2022/05/10 21:10:55]:Poyraz:We want to buy for 3 users(Translation)3 kullanıcı için satın almak istiyoruz (Original)
[2022/05/10 21:11:29]:Lucas - Comm100:tekrar merhaba(Translation)Hello again(Original)
[2022/05/10 21:11:35]:Lucas - Comm100:sadece sohbet ettik(Translation)We just chatted(Original)
[2022/05/10 21:12:06]:Poyraz:how can I buy(Translation)nasıl satın alabilirim(Original)
[2022/05/10 21:12:28]:Lucas - Comm100:Lütfen Global Ayarlar > Kontrol Paneli'ne gidin, satın alma işlemine devam etmek için \""""Şimdi Satın Al\""""ı tıklayın(Translation)Please navigate to Global Settings > Dashboard, click """"Buy Now"""" to proceed purchase process(Original)
The visitor has sent a file: Screenshot_3.png
[2022/05/10 21:13:10]:Lucas - Comm100:Kontrol etmek için giriş bilgilerinizi alabilir miyim?(Translation)May I have your login to check?(Original)
[2022/05/10 21:13:10]:Poyraz:no page is opening(Translation)hiçbir sayfa açılmıyor(Original)
Agent Lucas - Comm100 has requested a form """"Account Login Info"""".
[2022/05/10 21:13:18]:Poyraz:fatihekol5555@gmail.com(Translation)fatihekol5555@gmail.com(Original)
[2022/05/10 21:13:20]:Poyraz:fth443311(Translation)Fth443311(Original)
Visitor has submitted the form """"Account Login Info"""".
[2022/05/10 21:14:16]:Lucas - Comm100:teşekkürler(Translation)Thanks(Original)
[2022/05/10 21:14:25]:Poyraz:you are welcome(Translation)rica ederiz(Original)
[2022/05/10 21:14:32]:Poyraz:we need to pay urgently or the chat software will be shut down(Translation)acil olarak ödememiz lazım yoksa chat yazılımı kapanacak(Original)
[2022/05/10 21:15:48]:Lucas - Comm100:Kaç ajana ihtiyacınız var?(Translation)How many agents do you need?(Original)
[2022/05/10 21:16:12]:Poyraz:3 users(Translation)3 kullanıcı(Original)
Agent Lucas - Comm100 has sent a file: 1652188666807.png
[2022/05/10 21:18:06]:Lucas - Comm100:Önbelleği temizleyip tekrar dener misin?(Translation)Could you clear the cache and try again?(Original)
[2022/05/10 21:18:47]:Poyraz:ok i got the screen now(Translation)tamam şu an ekrana ulaştım(Original)
[2022/05/10 21:18:49]:Poyraz:thank you(Translation)teşekkür ederim(Original)
[2022/05/10 21:19:05]:Lucas - Comm100:Bunu bilmek harika(Translation)That's great to know(Original)
[2022/05/10 21:19:13]:Lucas - Comm100:Daha fazla sorunuz varsa bana bildirin(Translation)Let me know if any questions further(Original)
[2022/05/10 21:19:19]:Poyraz:thanks(Translation)teşekkürler(Original)
The visitor has left the chat.
The chat is ended.(2022/05/10 21:19:46)
",Billing: General Inquiry,Answered/Solved,SMB & APAC ENT
"Comm100 Bot has joined the chat.
[2022/05/10 21:06:12]:Comm100 Bot:Hey there! 👋Thank you for visiting Comm100, the customer engagement solution that helps increase sales, improve customer satisfaction, build loyalty, and spread happiness. 😄From the topics below, which one are you most interested in getting help with today?
[Sales]
[Pre-sales Tech Support]
[Post-sales Tech Support]
[Partner]
[2022/05/10 21:06:25]:Charlotte White:Sales
[2022/05/10 21:06:25]:Comm100 Bot:Nice choice! ❤️

Please feel free to choose one of the options below.
[Book a Meeting]
[Chat with Sales]
[2022/05/10 21:06:29]:Charlotte White:Chat with Sales
[2022/05/10 21:06:29]:Comm100 Bot:Please hold on. Transferring you to our agent. ✈️
Agent Lucas - Comm100 has joined the chat.
[2022/05/10 21:06:30]:Lucas - Comm100:Hi Charlotte White, this is Lucas with Comm100. How may I help you?
[2022/05/10 21:06:48]:Charlotte White:Hello i tried making paymetn as trial expired and io bearly used it
[2022/05/10 21:07:04]:Charlotte White:payment got declined twice so i need to speak to my bank in couple of hours
[2022/05/10 21:07:22]:Charlotte White:can you please give me 24 hours extensions for free trial
[2022/05/10 21:07:30]:Lucas - Comm100:Hello Charlotte
[2022/05/10 21:08:21]:Lucas - Comm100:3 extra days for free trial are added into your account
[2022/05/10 21:08:26]:Lucas - Comm100:Could you check again?
[2022/05/10 21:08:30]:Charlotte White:oh you made my day thanks alot
[2022/05/10 21:09:02]:Charlotte White:yes its there now
[2022/05/10 21:09:03]:Lucas - Comm100:You can have plenty of time to fix the payment issue with your bank
[2022/05/10 21:09:22]:Lucas - Comm100:Thanks again for your interest in Comm100
[2022/05/10 21:11:47]:Lucas - Comm100:Is there anything else I can help you with?
Agent Lucas - Comm100 has left the chat.
The chat is ended.(2022/05/10 21:20:05)
",Billing: Ask for Extension,Answered/Solved,SMB & APAC ENT
"Comm100 Bot has joined the chat.
[2022/05/10 20:44:03]:Comm100 Bot:Hey there! 👋Thank you for visiting Comm100, the customer engagement solution that helps increase sales, improve customer satisfaction, build loyalty, and spread happiness. 😄From the topics below, which one are you most interested in getting help with today?
[Sales]
[Pre-sales Tech Support]
[Post-sales Tech Support]
[Partner]
[2022/05/10 20:44:10]:Poyraz:Sales
[2022/05/10 20:44:10]:Comm100 Bot:Nice choice! ❤️

Please feel free to choose one of the options below.
[Book a Meeting]
[Chat with Sales]
Agent Lucas - Comm100 has joined the chat.
[2022/05/10 20:44:16]:Poyraz:Book a Meeting
[2022/05/10 20:44:17]:Comm100 Bot:[Booking Meeting]
[2022/05/10 20:44:31]:Lucas - Comm100:Hello
Visitor has canceled the meeting.
[2022/05/10 20:45:15]:Poyraz:we are currently using demo version and would like to buy
[2022/05/10 20:45:41]:Poyraz:I request information about how

[2022/05/10 20:46:00]:Poyraz:Our demo right is running out?
[2022/05/10 20:46:07]:Lucas - Comm100:Just to confirm, are you fine with the current plan Live Chat Startup?
[2022/05/10 20:47:09]:Lucas - Comm100:You have two-day trial period left
[2022/05/10 20:47:42]:Poyraz:yes i want to buy
[2022/05/10 20:48:09]:Lucas - Comm100:Please navigate to Global Settings > Dashboard, click """"Buy Now"""" to proceed purchase process.
The visitor has sent a file: Screenshot_3.png
[2022/05/10 20:49:15]:Poyraz:it stays that way
[2022/05/10 20:50:44]:Lucas - Comm100:It's loading on my side
Agent Lucas - Comm100 has sent a file: 1652187049213.png
[2022/05/10 20:50:56]:Lucas - Comm100:Could you close the browser and try again?
[2022/05/10 20:56:06]:Lucas - Comm100:Is it loading good?
The visitor has left the chat.
The chat is ended.(2022/05/10 21:01:07)
",Billing: General Inquiry,Answered/Solved,SMB & APAC ENT
"Agent Lucas - Comm100 has joined the chat.
[2022/05/10 17:29:27]:Lucas - Comm100:Hi Emre, this is Lucas with Comm100. How may I help you?
[2022/05/10 17:29:34]:Emre:hi.
[2022/05/10 17:29:52]:Lucas - Comm100:Hello
[2022/05/10 17:30:13]:Emre:My credit cart hacked , i will wait new credit card.
[2022/05/10 17:30:37]:Emre:I expected it to come today but it didn't
[2022/05/10 17:30:44]:Emre:my account now suspend :) pls help me.
[2022/05/10 17:30:58]:Emre:I request you to extend 15 days
[2022/05/10 17:31:19]:Emre:Currently unavailable to our customers
[2022/05/10 17:31:36]:Emre:I will be glad if you help
[2022/05/10 17:32:29]:Lucas - Comm100:Understood. System shows you are expected to pay on 04/25/2022, it's due for over 2 weeks. You want another 15 days, you have to reach your account manager Brian
[2022/05/10 17:33:11]:Lucas - Comm100:Do you have his Skype?
[2022/05/10 17:33:19]:Emre:i dont have.
[2022/05/10 17:33:22]:Lucas - Comm100:Skype: keyi_lan
[2022/05/10 17:33:32]:Emre:I've been using you for 4 years

[2022/05/10 17:33:56]:Emre:I am not new, I request you not to make us suffer for this simple situation.
[2022/05/10 17:34:25]:Lucas - Comm100:This is support channel we can only give 2 days
[2022/05/10 17:34:28]:Emre:Losing my customers $2000 per day to see them closed
[2022/05/10 17:34:37]:Lucas - Comm100:Talk with Brian
[2022/05/10 17:34:48]:Emre:ok now give me 2 days.
[2022/05/10 17:34:57]:Emre:i will openy skype can you give me pls  skype adress.
[2022/05/10 17:35:34]:Lucas - Comm100:Your account is reactivated
[2022/05/10 17:35:34]:Emre:you can open the system quickly please

[2022/05/10 17:35:39]:Emre:thank you.
[2022/05/10 17:35:45]:Lucas - Comm100:Talk with Brian for more days
[2022/05/10 17:35:50]:Lucas - Comm100:Bye
Ticket 18865 created successfully. The chat transcript will be attached to this ticket after the transcript is saved in the system.
Agent Lucas - Comm100 has left the chat.
The chat is ended.(2022/05/10 17:39:59)
",Billing: Ask for Extension,Answered/Solved,SMB & APAC ENT
"Agent Lucas - Comm100 has joined the chat.
[2022/05/10 15:52:05]:Lucas - Comm100:Hi Çağrı, this is Lucas with Comm100. How may I help you?
[2022/05/10 15:52:17]:Çağrı:hello Lucas
[2022/05/10 15:52:26]:Lucas - Comm100:Hello!
[2022/05/10 15:53:13]:Çağrı:There is a difference between the time of one of our staff on comm100 and the local time. How can we fix this problem?
The visitor has sent a file: image.png
The visitor has sent a file: image.png
[2022/05/10 15:53:46]:Lucas - Comm100:Are you aware of the timezone change in the profile?
[2022/05/10 15:54:04]:Lucas - Comm100:Agents should modify the timezone then log in agent console again
[2022/05/10 15:54:44]:Çağrı:Unfortunately, we couldn't find where to change it. Please help with this.
[2022/05/10 15:56:00]:Lucas - Comm100:Let me guide you
[2022/05/10 15:56:38]:Lucas - Comm100:Step 1
Agent Lucas - Comm100 has sent a file: 1652169401637.png
[2022/05/10 15:57:24]:Lucas - Comm100:Step 2
Agent Lucas - Comm100 has sent a file: 1652169447967.png
[2022/05/10 15:57:30]:Lucas - Comm100:Please have a try
[2022/05/10 15:58:16]:Çağrı:Ok i'm trying
[2022/05/10 15:58:24]:Lucas - Comm100:Take your time
[2022/05/10 16:02:28]:Selin:Okay
[2022/05/10 16:02:39]:Selin:thanks for your support
[2022/05/10 16:02:43]:Lucas - Comm100:That's great to know!
[2022/05/10 16:02:47]:Lucas - Comm100:You are welcome
[2022/05/10 16:02:53]:Selin:Goodbye
The visitor has left the chat.
The chat is ended.(2022/05/10 16:02:57)
",Support: Live Chat,Answered/Solved,SMB & APAC ENT
"Comm100 Bot has joined the chat.
[2022/05/10 14:56:10]:Comm100 Bot:Hey there! 👋Thank you for visiting Comm100, the customer engagement solution that helps increase sales, improve customer satisfaction, build loyalty, and spread happiness. 😄From the topics below, which one are you most interested in getting help with today?
[Sales]
[Pre-sales Tech Support]
[Post-sales Tech Support]
[Partner]
[2022/05/10 14:57:29]:Visitor:Sales
[2022/05/10 14:57:30]:Comm100 Bot:Nice choice! ❤️

Please feel free to choose one of the options below.
[Book a Meeting]
[Chat with Sales]
[2022/05/10 14:57:48]:Visitor:Chat with Sales
[2022/05/10 14:57:48]:Comm100 Bot:Please hold on. Transferring you to our agent. ✈️
Agent Walid - Comm100 has joined the chat.
[2022/05/10 14:57:49]:Walid - Comm100:Hello 87.200.139.35, How are you doing today? You have contacted Comm100 Technical Support team. What do you need help with? 
[2022/05/10 14:58:22]:Visitor:为什么之前的账号无法使用了
[2022/05/10 15:00:47]:Walid - Comm100:What's your account email? 
[2022/05/10 15:02:44]:Visitor:wangjun092127739662@gmail.com
[2022/05/10 15:02:56]:Walid - Comm100:Please contact the support team on this https://www.livehelp100.com/
Its the dedicated website for your platform.  or contact via telegram @LiveHelp100_bot
The visitor has sent a file: image.png
[2022/05/10 15:06:07]:Walid - Comm100:Please contact the support team on this https://www.livehelp100.com/
Its the dedicated website for your platform.  or contact via telegram @LiveHelp100_bot
Agent Walid - Comm100 has turned on Auto Translation.
[2022/05/10 15:06:13]:Walid - Comm100:请通过此 https://www.livehelp100.com/ 联系支持团队
它是您平台的专用网站。或通过电报联系@LiveHelp100_bot(Translation)Please contact the support team on this https://www.livehelp100.com/
Its the dedicated website for your platform.  or contact via telegram @LiveHelp100_bot(Original)
[2022/05/10 15:24:45]:Walid - Comm100:祝你有美好的一天！(Translation)have a good day!(Original)
Agent Walid - Comm100 has left the chat.
The chat is ended.(2022/05/10 15:24:48)
",Support: Live Chat,Answered/Solved,Gaming (Livehelp100)
"Comm100 Bot has joined the chat.
[2022/05/10 11:49:21]:Comm100 Bot:Hey there! 👋Thank you for visiting Comm100, the customer engagement solution that helps increase sales, improve customer satisfaction, build loyalty, and spread happiness. 😄From the topics below, which one are you most interested in getting help with today?
[Sales]
[Pre-sales Tech Support]
[Post-sales Tech Support]
[Partner]
[2022/05/10 11:50:43]:Visitor:Post-sales Tech Support
[2022/05/10 11:50:45]:Comm100 Bot:Thank you for contacting Comm100 Technical Support.My I have your name please?
[2022/05/10 11:50:54]:Visitor:Cat
[2022/05/10 11:50:54]:Comm100 Bot:Thank you, Cat. Please hold on. Transferring you to our agent. ✈️
Agent Walid - Comm100 has joined the chat.
[2022/05/10 11:50:56]:Walid - Comm100:Hello Cat, How are you doing today? You have contacted Comm100 Technical Support team. What do you need help with? 
[2022/05/10 11:51:07]:Cat:Is smb small business? 
[2022/05/10 11:51:22]:Walid - Comm100:yes'
[2022/05/10 11:51:54]:Cat:Thank you 
The visitor has left the chat.
The chat is ended.(2022/05/10 11:52:00)
",Support: Live Chat,Answered/Solved,SMB & APAC ENT
